.data
# Numero de aliados, numero de inimigos
MAP3_CHARACTERS:.byte	3, 7
# Codigos:
# 0 - chao
# 1 - parede
# 2 - aliado (espada)
# 3 - aliado (lanca)
# 4 - aliado (machado)
# 5 - inimigo (espada)
# 6 - inimigo (lanca)
# 7 - inimigo (machado)
MAP3_TILES:	.word	15, 10,
		.byte	2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1,
			3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1,
			4, 0, 1, 1, 0, 0, 0, 0, 1, 0, 5, 5, 5, 0, 1,
			0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1,
			0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,
			0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1,
			0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1,
			1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1,
			7, 0, 0, 0, 1, 0, 1, 1, 0, 0, 6, 0, 6, 0, 0,
			1, 7, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0,
