.data
ENEMY_SPEAR: .word 16, 15
.byte 199,199,199,199,199,199,82,254,82,199,199,199,199,199,199,199,
199,199,199,199,199,82,254,236,82,82,82,199,199,199,199,199,
199,199,199,199,82,236,236,82,15,111,15,82,199,199,199,199,
199,199,199,199,82,254,82,82,15,111,15,82,199,199,199,199,
199,199,199,82,15,82,82,13,101,15,101,3,82,82,82,199,
199,199,82,15,15,13,82,15,82,82,82,3,15,111,111,82,
199,199,82,82,15,13,82,13,111,111,15,3,15,15,15,82,
199,199,82,254,82,199,199,82,15,15,15,13,82,3,82,199,
199,82,254,82,199,199,199,199,82,3,3,82,82,15,82,199,
199,82,236,82,199,199,199,199,82,254,236,236,82,3,15,82,
82,255,82,199,199,199,199,82,254,254,82,13,82,15,15,82,
82,255,236,82,199,199,82,13,236,82,82,13,13,82,82,100,
82,236,82,199,199,199,82,111,13,82,82,82,15,15,82,100,
82,82,199,199,199,82,111,15,13,82,100,100,82,82,82,100,
199,199,199,199,100,82,15,13,82,100,100,100,100,100,100,100,


