.data
ALLY_SWORD: .word 15, 15
.byte 
199,199,199,199,199,82,146,146,199,199,199,199,199,199,199,
199,199,199,199,146,225,225,225,82,199,199,199,199,199,199,
199,199,199,82,225,101,210,210,82,199,199,199,199,199,199,
199,199,82,210,191,91,191,91,91,82,199,199,199,199,199,
199,199,82,225,91,191,191,191,82,225,82,199,199,199,199,
199,82,225,210,82,82,91,82,210,225,225,82,82,199,199,
199,199,82,82,210,249,249,225,146,146,225,191,101,82,199,
199,199,199,82,210,225,225,210,82,82,146,191,101,246,199,
199,199,199,199,82,127,91,82,236,246,236,101,82,82,199,
199,199,199,199,82,82,236,255,255,82,82,82,199,199,199,
199,199,82,82,236,255,255,236,82,82,199,199,199,199,199,
199,82,246,255,246,82,82,146,225,82,199,199,199,199,199,
199,82,82,82,82,210,82,82,225,210,82,100,100,199,199,
100,100,100,82,210,210,82,100,82,146,82,100,100,100,199,
199,100,100,82,82,82,100,100,82,249,225,82,100,100,199,
